date,channel,campaign,impressions,clicks,spend,conversions,revenue
2025-12-21,Google Ads,Brand Search,5259,381,437.31,54,5763.71
2025-12-21,Google Ads,Lookalike,13403,506,582.44,25,2267.85
2025-12-21,Google Ads,Prospecting,20342,635,983.32,25,1938.35
2025-12-21,Google Ads,Retargeting,8831,529,747.24,53,4879.51
2025-12-21,LinkedIn Ads,Prospecting,11523,73,436.7,2,559.51
2025-12-21,LinkedIn Ads,Retargeting,4198,51,291.94,4,1406.68
2025-12-21,Meta Ads,Lookalike,21332,284,219.41,7,467.86
2025-12-21,Meta Ads,Prospecting,42172,459,336.74,6,439.57
2025-12-21,Meta Ads,Retargeting,16478,364,311.66,17,1317.88
2025-12-21,TikTok Ads,Lookalike,36540,366,136.91,6,297.06
2025-12-21,TikTok Ads,Prospecting,61037,516,174.16,3,137.16
2025-12-21,TikTok Ads,Retargeting,26792,436,154.79,9,530.39
2025-12-22,Google Ads,Brand Search,6199,499,625.11,64,7342.79
2025-12-22,Google Ads,Lookalike,17414,705,845.4,39,3118.18
2025-12-22,Google Ads,Prospecting,22858,681,734.82,15,1094.28
2025-12-22,Google Ads,Retargeting,8864,530,766.9,61,5064.24
2025-12-22,LinkedIn Ads,Prospecting,10553,50,275.84,1,316.78
2025-12-22,LinkedIn Ads,Retargeting,5642,48,266.4,1,410.61
2025-12-22,Meta Ads,Lookalike,27855,361,287.63,11,721.2
2025-12-22,Meta Ads,Prospecting,60038,590,438.98,6,493.64
2025-12-22,Meta Ads,Retargeting,16851,399,304.05,16,1225.39
2025-12-22,TikTok Ads,Lookalike,63000,700,281.97,14,640.09
2025-12-22,TikTok Ads,Prospecting,78061,698,216.15,6,248.56
2025-12-22,TikTok Ads,Retargeting,29272,440,156.48,14,760.92
2025-12-23,Google Ads,Brand Search,5795,514,657.33,62,7795.45
2025-12-23,Google Ads,Lookalike,13553,476,795.58,26,1965.68
2025-12-23,Google Ads,Prospecting,19251,579,662.99,22,1759.83
2025-12-23,Google Ads,Retargeting,12399,705,819.29,63,5517.51
2025-12-23,LinkedIn Ads,Prospecting,13957,80,477.98,2,645.57
2025-12-23,LinkedIn Ads,Retargeting,4193,46,251.45,1,346.52
2025-12-23,Meta Ads,Lookalike,33218,435,344.63,7,604.09
2025-12-23,Meta Ads,Prospecting,47850,457,383.25,5,367.94
2025-12-23,Meta Ads,Retargeting,16978,366,305.81,27,2002.25
2025-12-23,TikTok Ads,Lookalike,50203,521,187.83,8,385.4
2025-12-23,TikTok Ads,Prospecting,83433,653,221.97,7,329.08
2025-12-23,TikTok Ads,Retargeting,35651,568,223.95,11,621.11
2025-12-24,Google Ads,Brand Search,6020,453,636.61,37,3898.78
2025-12-24,Google Ads,Lookalike,15732,606,746.41,33,2762.54
2025-12-24,Google Ads,Prospecting,26703,890,1154.24,33,2900.17
2025-12-24,Google Ads,Retargeting,12093,818,905.38,93,8131.06
2025-12-24,LinkedIn Ads,Prospecting,17378,104,551.88,0,0.0
2025-12-24,LinkedIn Ads,Retargeting,3802,28,175.87,1,382.35
2025-12-24,Meta Ads,Lookalike,24137,313,220.94,13,775.35
2025-12-24,Meta Ads,Prospecting,53943,613,618.93,9,586.35
2025-12-24,Meta Ads,Retargeting,18543,419,308.74,27,2121.49
2025-12-24,TikTok Ads,Lookalike,48382,501,154.03,8,344.9
2025-12-24,TikTok Ads,Prospecting,78185,685,244.51,4,206.25
2025-12-24,TikTok Ads,Retargeting,25159,380,139.25,8,472.0
2025-12-25,Google Ads,Brand Search,7314,537,736.55,52,4784.6
2025-12-25,Google Ads,Lookalike,21967,843,898.88,31,2141.67
2025-12-25,Google Ads,Prospecting,20035,648,838.75,23,2257.36
2025-12-25,Google Ads,Retargeting,8382,472,673.3,42,3794.67
2025-12-25,LinkedIn Ads,Prospecting,16708,92,519.24,2,777.64
2025-12-25,LinkedIn Ads,Retargeting,5676,62,309.47,7,2466.08
2025-12-25,Meta Ads,Lookalike,31773,459,337.23,11,822.99
2025-12-25,Meta Ads,Prospecting,44391,452,361.83,9,776.03
2025-12-25,Meta Ads,Retargeting,14485,298,246.84,19,1404.64
2025-12-25,TikTok Ads,Lookalike,69148,696,246.04,8,396.57
2025-12-25,TikTok Ads,Prospecting,55932,424,110.33,2,89.97
2025-12-25,TikTok Ads,Retargeting,31547,518,150.96,12,638.22
2025-12-26,Google Ads,Brand Search,5258,445,623.91,50,3846.85
2025-12-26,Google Ads,Lookalike,15650,641,750.61,37,3322.3
2025-12-26,Google Ads,Prospecting,25021,774,854.29,31,2290.36
2025-12-26,Google Ads,Retargeting,7786,437,586.26,39,3896.33
2025-12-26,LinkedIn Ads,Prospecting,19056,85,418.24,2,704.68
2025-12-26,LinkedIn Ads,Retargeting,4483,47,203.08,1,452.3
2025-12-26,Meta Ads,Lookalike,37134,435,333.57,6,398.69
2025-12-26,Meta Ads,Prospecting,52940,560,412.01,13,885.1
2025-12-26,Meta Ads,Retargeting,16734,310,214.42,18,1584.14
2025-12-26,TikTok Ads,Lookalike,50474,473,166.08,10,513.63
2025-12-26,TikTok Ads,Prospecting,76724,626,224.32,3,123.59
2025-12-26,TikTok Ads,Retargeting,29221,527,173.23,9,464.47
2025-12-27,Google Ads,Brand Search,5232,400,601.48,47,4514.92
2025-12-27,Google Ads,Lookalike,14432,526,683.31,33,2925.37
2025-12-27,Google Ads,Prospecting,19863,600,580.33,22,1921.54
2025-12-27,Google Ads,Retargeting,9650,561,700.02,50,4271.59
2025-12-27,LinkedIn Ads,Prospecting,12187,68,413.41,1,374.43
2025-12-27,LinkedIn Ads,Retargeting,4471,44,255.65,0,0.0
2025-12-27,Meta Ads,Lookalike,23201,297,265.57,8,546.44
2025-12-27,Meta Ads,Prospecting,43647,495,435.55,10,530.92
2025-12-27,Meta Ads,Retargeting,15125,317,242.8,21,1541.36
2025-12-27,TikTok Ads,Lookalike,39679,375,119.68,4,231.47
2025-12-27,TikTok Ads,Prospecting,62397,536,160.45,5,254.36
2025-12-27,TikTok Ads,Retargeting,19842,295,100.99,6,352.07
2025-12-28,Google Ads,Brand Search,4418,301,344.1,37,3620.89
2025-12-28,Google Ads,Lookalike,18428,751,841.51,42,3714.58
2025-12-28,Google Ads,Prospecting,26019,842,995.56,37,2628.82
2025-12-28,Google Ads,Retargeting,7680,435,579.67,53,5179.73
2025-12-28,LinkedIn Ads,Prospecting,16042,90,461.2,2,732.66
2025-12-28,LinkedIn Ads,Retargeting,3847,29,191.67,0,0.0
2025-12-28,Meta Ads,Lookalike,21261,295,216.88,7,439.67
2025-12-28,Meta Ads,Prospecting,41210,449,378.04,10,691.53
2025-12-28,Meta Ads,Retargeting,15144,291,233.07,19,1499.85
2025-12-28,TikTok Ads,Lookalike,37126,328,119.44,6,350.7
2025-12-28,TikTok Ads,Prospecting,60013,484,161.44,9,493.6
2025-12-28,TikTok Ads,Retargeting,25215,416,149.33,14,732.16
2025-12-29,Google Ads,Brand Search,5607,451,588.22,56,4510.07
2025-12-29,Google Ads,Lookalike,16825,680,814.12,32,2117.98
2025-12-29,Google Ads,Prospecting,23293,684,707.62,27,1792.44
2025-12-29,Google Ads,Retargeting,10176,554,605.52,57,5116.97
2025-12-29,LinkedIn Ads,Prospecting,15003,73,373.9,0,0.0
2025-12-29,LinkedIn Ads,Retargeting,5947,60,341.27,2,574.4
2025-12-29,Meta Ads,Lookalike,42167,534,444.5,11,813.99
2025-12-29,Meta Ads,Prospecting,42011,455,426.66,12,749.86
2025-12-29,Meta Ads,Retargeting,13692,291,258.56,13,935.57
2025-12-29,TikTok Ads,Lookalike,50605,507,158.16,7,346.94
2025-12-29,TikTok Ads,Prospecting,77120,608,207.91,6,287.17
2025-12-29,TikTok Ads,Retargeting,25489,430,145.79,10,504.32
2025-12-30,Google Ads,Brand Search,5733,520,567.08,57,5431.01
2025-12-30,Google Ads,Lookalike,19152,729,1090.35,34,3296.09
